Fakultas,Prodi,Seberapa mudah Anda mengakses SIAMIK saat war KRS berlangsung?,Berapa lama rata-rata waktu login yang Anda alami saat war KRS? (.....menit),Seberapa sering Anda mengalami gagal masuk atau error saat login di SIAMIK?,Apakah Anda pernah kehilangan mata kuliah karena slot penuh akibat lambatnya SIAMIK? ,Masalah utama yang paling sering Anda alami saat war KRS?,Berapa lama waktu yang Anda perlukan untuk menunggu ACC dari sistem/webnya? (....menit/jam),Apakah SIAMIK sudah memberikan notifikasi/status ACC KRS dengan jelas?,Seberapa puas Anda secara keseluruhan terhadap SIAMIK dalam proses War KRS dan ACC?,"Jika diberikan kesempatan memilih, aspek apa yang paling prioritas untuk diperbaiki pada SIAMIK?","Berdasarkan pengalaman terakhir anda, Bagaimana penilaian anda terhadap kualitas SIAMIK saat war KRS dan ACC?"
Fakultas Ilmu Komputer,Sains Data,4,1,2,Tidak,Sulit login/server down,8,"Ya, sangat jelas",5,Notifikasi otomatis ACC mata kuliah,5
Fakultas Ilmu Komputer,Sains Data,4,1,3,Ya,Slot mata kuliah cepat penuh,30,Cukup jelas,3,Proses ACC system/web,4
Fakultas Ilmu Komputer,Sains Data,3,1,3,Tidak,Slot mata kuliah cepat penuh,120,"Ya, sangat jelas",3,Kecepatan server saat war KRS,3
Fakultas Ilmu Komputer,Sains Data,1,1,3,Tidak,Slot mata kuliah cepat penuh,240,Kurang jelas,1,Proses ACC system/web,2
Fakultas Ilmu Komputer,Sains Data,2,30,3,Ya,Slot mata kuliah cepat penuh,300,Cukup jelas,3,Proses ACC system/web,3
Fakultas Ilmu Komputer,Sains Data,1,1,5,Ya,Slot mata kuliah cepat penuh,420,Kurang jelas,2,Kecepatan server saat war KRS,1
Fakultas Ilmu Komputer,Sains Data,5,1,2,Ya,Slot mata kuliah cepat penuh,30,Tidak jelas sama sekali,1,Proses ACC system/web,1
Fakultas Ilmu Komputer,Sistem Informasi,3,2,2,Ya,Slot mata kuliah cepat penuh,5,Tidak jelas sama sekali,3,Proses ACC system/web,3
Fakultas Ilmu Komputer,Sains Data,4,3,2,Tidak,"Error system (data tidak tersimpan, crash, dll)",5,Cukup jelas,3,Proses ACC system/web,3
Fakultas Ilmu Komputer,Sains Data,3,5,1,Ya,Slot mata kuliah cepat penuh,1,Tidak jelas sama sekali,2,Kecepatan server saat war KRS,2
Fakultas Ilmu Komputer,Sains Data,1,30,3,Tidak,Slot mata kuliah cepat penuh,40,Kurang jelas,1,Proses ACC system/web,2
Fakultas Ilmu Komputer,Informatika,4,1,1,Tidak,Slot mata kuliah cepat penuh,15,Cukup jelas,1,Kecepatan server saat war KRS,3
Fakultas Ilmu Komputer,Sains Data,2,5,2,Ya,Slot mata kuliah cepat penuh,30,Kurang jelas,2,Proses ACC system/web,1
Fakultas Ilmu Komputer,Sains Data,2,2,2,Tidak,"Error system (data tidak tersimpan, crash, dll)",300,Cukup jelas,3,Proses ACC system/web,2
Fakultas Ilmu Komputer,Sains Data,2,3,2,Ya,Slot mata kuliah cepat penuh,360,Kurang jelas,1,Proses ACC system/web,1
Fakultas Ilmu Komputer,Sains Data,1,2,3,Tidak,"Error system (data tidak tersimpan, crash, dll)",240,Tidak jelas sama sekali,1,Kecepatan server saat war KRS,2
Fakultas Ilmu Komputer,Sains Data,2,15,3,Tidak,Sulit login/server down,15,Cukup jelas,4,Kecepatan server saat war KRS,3
Fakultas Ilmu Komputer,Sains Data,3,7,4,Ya,"Error system (data tidak tersimpan, crash, dll)",90,Kurang jelas,3,Kecepatan server saat war KRS,3
Fakultas Ilmu Komputer,Sains Data,3,1,2,Tidak,Slot mata kuliah cepat penuh,180,Cukup jelas,3,Proses ACC system/web,3
Fakultas Ilmu Komputer,Sains Data,5,1,1,Ya,Slot mata kuliah cepat penuh,40,Kurang jelas,1,Proses ACC system/web,1
Fakultas Ilmu Komputer,Informatika,3,5,1,Ya,Sulit login/server down,45,Kurang jelas,2,Kecepatan server saat war KRS,2
"Fakultas Ilmu Sosial, Budaya, dan Politik",Administrasi Bisnis,1,360,5,Ya,"Error system (data tidak tersimpan, crash, dll)",240,Cukup jelas,1,Kecepatan server saat war KRS,1
"Fakultas Ilmu Sosial, Budaya, dan Politik",Administrasi Bisnis,1,360,5,Ya,Sulit login/server down,360,Kurang jelas,2,Kecepatan server saat war KRS,2
"Fakultas Ilmu Sosial, Budaya, dan Politik",Administrasi Bisnis,2,360,4,Ya,Sulit login/server down,60,Cukup jelas,1,Proses ACC system/web,1
"Fakultas Ilmu Sosial, Budaya, dan Politik",Administrasi Bisnis,1,360,5,Ya,"Error system (data tidak tersimpan, crash, dll)",60,Tidak jelas sama sekali,1,Kecepatan server saat war KRS,1
"Fakultas Ilmu Sosial, Budaya, dan Politik",Administrasi Bisnis,1,5,5,Ya,Slot mata kuliah cepat penuh,60,Tidak jelas sama sekali,1,Proses ACC system/web,1
Fakultas Ekonomi dan Bisnis,Manajemen,1,30,4,Ya,"Error system (data tidak tersimpan, crash, dll)",30,Cukup jelas,1,Kecepatan server saat war KRS,1
Fakultas Ilmu Komputer,Informatika,1,3,2,Ya,Slot mata kuliah cepat penuh,120,Kurang jelas,2,Proses ACC system/web,2
Fakultas Teknik dan Sains,Teknik Industri ,3,30,5,Ya,Slot mata kuliah cepat penuh,120,Tidak jelas sama sekali,1,Kecepatan server saat war KRS,1
Fakultas Teknik dan Sains,Teknik Industri ,2,5,5,Ya,Slot mata kuliah cepat penuh,15,Kurang jelas,2,Kecepatan server saat war KRS,2
Fakultas Teknik dan Sains,Teknik Industri ,1,10,5,Ya,"Error system (data tidak tersimpan, crash, dll)",60,Kurang jelas,3,Notifikasi otomatis ACC mata kuliah,2
Fakultas Ilmu Komputer,Sains Data,1,5,4,Tidak,Sulit login/server down,13,Cukup jelas,2,Kecepatan server saat war KRS,2
Fakultas Ilmu Komputer,Informatika,1,60,5,Ya,Sulit login/server down,180,Kurang jelas,1,Kecepatan server saat war KRS,3
Fakultas Ilmu Komputer,Informatika,5,1,1,Tidak,Slot mata kuliah cepat penuh,15,Cukup jelas,5,Proses ACC system/web,5
Fakultas Ilmu Komputer,Informatika,3,0,3,Ya,Slot mata kuliah cepat penuh,0,Kurang jelas,3,Proses ACC system/web,3
Fakultas Ilmu Komputer,Sains Data,1,2,5,Ya,Sulit login/server down,30,Tidak jelas sama sekali,1,Kecepatan server saat war KRS,3
Fakultas Ekonomi dan Bisnis,Manajemen,1,2,4,Ya,Slot mata kuliah cepat penuh,45,Cukup jelas,1,Proses ACC system/web,1
Fakultas Ilmu Komputer,Informatika,5,1,1,Ya,Slot mata kuliah cepat penuh,60,"Ya, sangat jelas",1,Proses ACC system/web,2
Fakultas Ilmu Komputer,Sains Data,4,5,3,Ya,Slot mata kuliah cepat penuh,9,"Ya, sangat jelas",3,Proses ACC system/web,3
Fakultas Ilmu Komputer,Sains Data,5,15,3,Tidak,Sulit login/server down,20,Cukup jelas,3,Proses ACC system/web,3
Fakultas Ilmu Komputer,Sains Data,4,1,2,Tidak,Slot mata kuliah cepat penuh,1,Cukup jelas,3,Kecepatan server saat war KRS,4
